,word1,word2,human,gpt_left,gpt_right,gpt2,gpt4,wup_common,wup_average,lin_common,lin_average
0,scholar,academician,5.42,0.850104973,0.853856459,0.851980716,6.0,0.6,0.6466722361459202,0.22137434425833946,0.26420801016650697
1,review,critique,5.41,0.822095968,0.828069523,0.825082745,5.0,0.25,0.3307285370288466,0.0682540414147308,0.19093826623971444
2,refund,reimbursement,5.41,0.812314637,0.810235448,0.811275043,6.2,0.8,0.5,0.6203097385713113,0.34643773925159876
3,haven,refuge,5.41,0.669938333,0.703790769,0.686864551,6.9,0.4,0.33749999999999997,0.10448233557817627,0.1556418854968324
4,rebel,revolutionary,5.4,0.808105722,0.810149498,0.80912761,5.3,0.5714285714285714,0.6115288220551378,0.235559218625979,0.4639730860968753
5,soil,dirt,5.4,0.799104355,0.793352768,0.796228562,6.5,0.25,0.3500550307535602,0.08016259452908268,0.19494384018296654
6,empire,kingdom,5.4,0.825427614,0.807545125,0.81648637,5.4,0.13333333333333333,0.3034436312454888,-0.0,0.15515566308256534
7,actor,performer,5.4,0.854633883,0.847452223,0.851043053,4.7,0.631578947368421,0.6687306501547987,0.923850529534216,0.6078974381041979
8,tribute,praise,5.4,0.801248811,0.80177436,0.801511586,4.3,0.8333333333333334,0.4605820105820106,0.7158643881845964,0.24631176718153247
9,version,rendition,5.39,0.800392494,0.814699173,0.807545833,5.6,0.25,0.30043449885790713,0.06309133024555072,0.1326001988801538
10,belly,stomach,5.38,0.832808942,0.81991528,0.826362111,6.8,0.7142857142857143,0.33971092418073845,0.4507673680062117,0.19036914439959368
11,offer,bid,5.37,0.714348145,0.723462008,0.718905076,5.7,0.8571428571428571,0.5441398878898879,0.5762056834982497,0.2996367899758106
12,humor,wit,5.36,0.745108366,0.736093692,0.740601029,6.4,1.0,0.3244755244755244,1.0,0.11051310418082137
13,matter,substance,5.36,0.726785712,0.740319923,0.733552817,6.5,0.25,0.33625684928205934,0.12298241285216718,0.1382108313891958
14,despair,hopelessness,5.36,0.858771041,0.863063611,0.860917326,6.9,0.6153846153846154,0.7692307692307693,0.29390882623146164,0.5921420928137706
15,meeting,assembly,5.35,0.702891976,0.713416688,0.708154332,5.5,0.13333333333333333,0.3062155935930445,-0.0,0.12696535520280366
16,holder,receptacle,5.35,0.760010332,0.780319825,0.770165078,4.2,0.7058823529411765,0.4722222222222222,0.34953939558162694,0.15756919760826088
17,target,goal,5.34,0.793099076,0.799499743,0.796299409,5.1,0.3076923076923077,0.2939642705935276,0.08818807981439448,0.1283072183000541
18,cruelty,brutality,5.34,0.887745947,0.887236036,0.887490992,6.7,0.21052631578947367,0.46895581198986774,0.06745717836151713,0.3917987512521331
19,index,listing,5.33,0.720559381,0.71999865,0.720279016,5.8,0.2857142857142857,0.3609313725490196,0.08139239360990215,0.22529847939870754
20,progress,improvement,5.32,0.811094366,0.812013984,0.811554175,6.1,0.42105263157894735,0.4947424388858857,0.25075757347521593,0.3274354894426127
21,symbol,emblem,5.31,0.834730454,0.829782747,0.8322566,6.6,0.15384615384615385,0.3764342275371687,-0.0,0.2699730722026002
22,stockade,fort,5.31,0.637101233,0.652621791,0.644861512,4.5,0.5555555555555556,0.6276659786721706,0.22754918277878394,0.406490117516064
23,legend,myth,5.31,0.839501046,0.844923429,0.842212237,5.3,0.8888888888888888,0.6825396825396826,0.8033059707927769,0.6318278480859684
24,senior,elder,5.3,0.776904054,0.780842558,0.778873306,6.7,0.5714285714285714,0.6274327122153208,0.214485255688858,0.3335469764323266
25,razor,shaver,5.3,0.71777001,0.719885603,0.718827806,6.5,0.36363636363636365,0.5681962481962483,0.12207927941372239,0.3990240377457004
26,burden,load,5.29,0.779055171,0.774526045,0.776790608,6.1,0.125,0.27645900305214033,-0.0,0.10090380294983431
27,anger,wrath,5.29,0.844181687,0.838321507,0.841251597,5.6,0.875,0.49027777777777776,0.8449796140317458,0.3933757093912759
28,parade,procession,5.28,0.86111249,0.862221867,0.861667179,6.3,0.5333333333333333,0.46796400671529675,0.20575778860852167,0.2773453886792598
29,increase,enlargement,5.27,0.790798433,0.803129189,0.796963811,5.9,0.26666666666666666,0.32391496274623205,0.08235116137649544,0.12984490366638562
30,pressure,force,5.27,0.803801015,0.800401442,0.802101228,5.3,0.14285714285714285,0.2654621672003361,-0.0,0.11149509806355862
31,bureau,department,5.27,0.791877843,0.783270061,0.787573952,6.6,0.8235294117647058,0.2846366324307501,0.8409031577459599,0.1754995178750162
32,comfort,consolation,5.26,0.805136412,0.807959951,0.806548182,5.0,0.5714285714285714,0.4330198746165132,0.31230791131090263,0.28895065678541326
33,manner,mode,5.26,0.780207358,0.772151671,0.776179515,5.8,1.0,0.376386040859725,1.0,0.1702313105932573
34,mission,task,5.25,0.762235455,0.761868596,0.762052026,5.5,0.26666666666666666,0.5843342424689173,0.0850552215288021,0.3638459495374807
35,research,investigation,5.25,0.825011484,0.833693676,0.82935258,6.4,0.3157894736842105,0.6393188854489164,0.19980656649934012,0.5583259653350582
36,color,hue,5.24,0.805060931,0.786627449,0.79584419,6.2,0.7692307692307693,0.4433311786252963,0.6790448818521171,0.2397830425157265
37,margin,border,5.23,0.740665182,0.735958159,0.738311671,4.6,0.13333333333333333,0.18215289039592447,-0.0,0.06063647290663751
38,muscle,brawn,5.22,0.686494574,0.680723079,0.683608826,6.0,0.14285714285714285,0.3695238095238095,-0.0,0.24659860380218385
39,marshal,sheriff,5.21,0.775986098,0.783926204,0.779956151,4.8,0.9090909090909091,0.6945454545454546,0.7110671507594913,0.46569885494138075
40,contempt,scorn,5.2,0.864978626,0.853328064,0.859153345,6.8,1.0,0.47722069597069594,1.0,0.3175835194519724
41,defense,protection,5.2,0.822314687,0.80748266,0.814898673,6.9,0.6666666666666666,0.33083922565308255,0.294678364803245,0.13115316294824386
42,era,age,5.2,0.825613514,0.825428873,0.825521193,6.4,0.36363636363636365,0.5139083139083138,0.09524284710444153,0.28874883254073946
43,magic,sorcery,5.19,0.82403145,0.836191893,0.830111671,6.3,0.9411764705882353,0.6134453781512605,0.929711582194726,0.5489132963575982
44,hotel,inn,5.19,0.745187275,0.719872221,0.732529748,6.8,0.9411764705882353,0.9411764705882353,0.8704803364854884,0.8704803364854884
45,sidewalk,walkway,5.19,0.807032607,0.787942059,0.797487333,6.7,0.9411764705882353,0.9411764705882353,0.9659270950296451,0.9659270950296451
46,heaven,paradise,5.18,0.838064626,0.83256188,0.835313253,6.9,1.0,0.5514254385964912,1.0,0.47781243787453986
47,rumor,gossip,5.16,0.835226797,0.847566321,0.841396559,6.3,0.2222222222222222,0.43153021442495126,0.06558179725618013,0.32479151547242857
48,lady,woman,5.16,0.853611819,0.861253783,0.857432801,6.6,0.631578947368421,0.4766952917410583,0.7674299506728657,0.3394027480618005
49,folly,foolishness,5.16,0.872865453,0.884887323,0.878876388,5.7,1.0,0.5275834051569346,1.0,0.3351554009981499
50,minor,juvenile,5.15,0.743034877,0.766744204,0.75488954,6.0,0.7058823529411765,0.7058823529411765,0.9727542595131633,0.9727542595131633
52,habit,mannerism,5.14,0.736795112,0.732819676,0.734807394,5.2,0.2857142857142857,0.25337840264310857,0.07180356545695687,0.0920791277475226
53,reverse,opposite,5.14,0.780607738,0.782289214,0.781448476,6.5,0.5,0.2978090701581414,0.24831659818523985,0.11953522134393146
54,reward,prize,5.13,0.825765587,0.82316564,0.824465614,6.4,0.23529411764705882,0.31895867748808926,0.07533330683585374,0.14630957427056138
55,college,university,5.12,0.866154581,0.86318782,0.864671201,6.7,0.8333333333333334,0.45965608465608465,0.6936589474611995,0.3102273497400667
