,word1,word2,human_similarity,gpt_similarity_left,gpt_similarity_right,gpt_similarity
0,scholar,academician,5.42,0.8501049727201462,0.8538564592599869,0.8519807159900665
1,review,critique,5.41,0.8220959678292274,0.8280695229768753,0.8250827454030514
2,refund,reimbursement,5.41,0.8123146370053291,0.8102354481816292,0.8112750425934792
3,haven,refuge,5.41,0.6699383333325386,0.7037907689809799,0.6868645511567593
4,rebel,revolutionary,5.4,0.8081057220697403,0.8101494982838631,0.8091276101768017
5,soil,dirt,5.4,0.799104355275631,0.7933527678251266,0.7962285615503788
6,empire,kingdom,5.4,0.8254276141524315,0.8075451254844666,0.816486369818449
7,actor,performer,5.4,0.8546338826417923,0.8474522233009338,0.8510430529713631
8,tribute,praise,5.4,0.80124881118536,0.8017743602395058,0.8015115857124329
9,version,rendition,5.39,0.8003924936056137,0.8146991729736328,0.8075458332896233
10,belly,stomach,5.38,0.8328089416027069,0.8199152797460556,0.8263621106743813
11,offer,bid,5.37,0.7143481448292732,0.7234620079398155,0.7189050763845444
12,humor,wit,5.36,0.7451083660125732,0.7360936924815178,0.7406010292470455
13,matter,substance,5.36,0.7267857119441032,0.7403199225664139,0.7335528172552586
14,despair,hopelessness,5.36,0.8587710410356522,0.8630636110901833,0.8609173260629177
15,meeting,assembly,5.35,0.7028919756412506,0.713416688144207,0.7081543318927288
16,holder,receptacle,5.35,0.7600103318691254,0.7803198248147964,0.7701650783419609
17,target,goal,5.34,0.7930990755558014,0.7994997426867485,0.796299409121275
18,cruelty,brutality,5.34,0.8877459466457367,0.8872360363602638,0.8874909915030003
19,index,listing,5.33,0.7205593809485435,0.7199986502528191,0.7202790156006813
20,progress,improvement,5.32,0.8110943660140038,0.8120139837265015,0.8115541748702526
21,symbol,emblem,5.31,0.8347304537892342,0.829782746732235,0.8322566002607346
22,stockade,fort,5.31,0.6371012330055237,0.652621790766716,0.6448615118861198
23,legend,myth,5.31,0.8395010456442833,0.8449234291911125,0.8422122374176979
24,senior,elder,5.3,0.7769040539860725,0.7808425575494766,0.7788733057677746
25,razor,shaver,5.3,0.7177700102329254,0.7198856025934219,0.7188278064131737
26,burden,load,5.29,0.7790551707148552,0.7745260447263718,0.7767906077206135
27,anger,wrath,5.29,0.8441816866397858,0.8383215069770813,0.8412515968084335
28,parade,procession,5.28,0.8611124902963638,0.8622218668460846,0.8616671785712242
29,increase,enlargement,5.27,0.7907984331250191,0.8031291887164116,0.7969638109207153
30,pressure,force,5.27,0.8038010150194168,0.8004014417529106,0.8021012283861637
31,bureau,department,5.27,0.791877843439579,0.7832700610160828,0.7875739522278309
32,comfort,consolation,5.26,0.8051364123821259,0.8079599514603615,0.8065481819212437
33,manner,mode,5.26,0.7802073583006859,0.7721516713500023,0.7761795148253441
34,mission,task,5.25,0.7622354552149773,0.7618685960769653,0.7620520256459713
35,research,investigation,5.25,0.8250114843249321,0.8336936756968498,0.829352580010891
36,color,hue,5.24,0.8050609305500984,0.7866274490952492,0.7958441898226738
37,margin,border,5.23,0.7406651824712753,0.7359581589698792,0.7383116707205772
38,muscle,brawn,5.22,0.6864945739507675,0.6807230785489082,0.6836088262498379
39,marshal,sheriff,5.21,0.7759860977530479,0.7839262038469315,0.7799561507999897
40,contempt,scorn,5.2,0.86497862637043,0.853328064084053,0.8591533452272415
41,defense,protection,5.2,0.8223146870732307,0.8074826598167419,0.8148986734449863
42,era,age,5.2,0.8256135135889053,0.8254288733005524,0.8255211934447289
43,magic,sorcery,5.19,0.8240314498543739,0.8361918926239014,0.8301116712391376
44,hotel,inn,5.19,0.7451872751116753,0.7198722213506699,0.7325297482311726
45,sidewalk,walkway,5.19,0.8070326074957848,0.7879420593380928,0.7974873334169388
46,heaven,paradise,5.18,0.8380646258592606,0.8325618803501129,0.8353132531046867
47,rumor,gossip,5.16,0.83522679656744,0.8475663214921951,0.8413965590298176
48,lady,woman,5.16,0.8536118194460869,0.8612537831068039,0.8574328012764454
49,folly,foolishness,5.16,0.8728654533624649,0.8848873227834702,0.8788763880729675
50,minor,juvenile,5.15,0.7430348768830299,0.7667442038655281,0.754889540374279
51,deport,transport,5.14,0.7426199316978455,0.7378057017922401,0.7402128167450428
52,habit,mannerism,5.14,0.736795112490654,0.732819676399231,0.7348073944449425
53,reverse,opposite,5.14,0.7806077376008034,0.7822892144322395,0.7814484760165215
54,reward,prize,5.13,0.8257655873894691,0.8231656402349472,0.8244656138122082
55,college,university,5.12,0.8661545813083649,0.8631878197193146,0.8646712005138397
56,spirit,soul,5.11,0.7966511026024818,0.8052816167473793,0.8009663596749306
57,output,yield,5.1,0.7476898804306984,0.7431536391377449,0.7454217597842216
58,savings,reserves,5.09,0.7313488572835922,0.7041394934058189,0.7177441753447056
59,expert,authority,5.09,0.7677469402551651,0.7633260786533356,0.7655365094542503
60,effort,attempt,5.08,0.860733725130558,0.8469540625810623,0.8538438938558102
61,servant,maid,5.08,0.7854062020778656,0.7928134724497795,0.7891098372638226
62,soldier,warrior,5.07,0.8447329252958298,0.8469990938901901,0.84586600959301
63,jacket,coat,5.07,0.8462822064757347,0.8287121877074242,0.8374971970915794
64,lesson,instruction,5.07,0.8111366406083107,0.8164854720234871,0.8138110563158989
65,disease,illness,5.07,0.8967455923557281,0.8896506950259209,0.8931981436908245
66,fortune,wealth,5.07,0.8006746098399162,0.8167640194296837,0.8087193146348
67,cluster,group,5.07,0.7684173434972763,0.7631764188408852,0.7657968811690807
68,alarm,warning,5.06,0.7632519006729126,0.7566540241241455,0.759952962398529
69,success,accomplishment,5.06,0.815477080643177,0.8235747367143631,0.8195259086787701
70,tension,strain,5.6,0.7761361598968506,0.7647614926099777,0.7704488262534142
71,feature,characteristic,5.59,0.8023001030087471,0.8058988824486732,0.8040994927287102
72,lumber,wood,5.59,0.7936491593718529,0.8048640862107277,0.7992566227912903
73,program,schedule,5.59,0.7458571344614029,0.7516601756215096,0.7487586550414562
74,candy,sweets,5.58,0.8498787581920624,0.8419489413499832,0.8459138497710228
75,crisis,emergency,5.57,0.804813988506794,0.8207951709628105,0.8128045797348022
76,founder,originator,5.57,0.8079555705189705,0.817020945250988,0.8124882578849792
77,excuse,pardon,5.57,0.7523796707391739,0.7590079978108406,0.7556938342750072
78,repair,mending,5.57,0.7178489863872528,0.7131728008389473,0.7155108936131
79,meadow,pasture,5.57,0.7564295679330826,0.7700370103120804,0.7632332891225815
80,normal,usual,5.57,0.854892298579216,0.8503648117184639,0.85262855514884
81,warfare,combat,5.57,0.8250533118844032,0.8297711089253426,0.8274122104048729
82,worship,adoration,5.55,0.7556883692741394,0.7546392008662224,0.7551637850701809
83,insane,crazy,5.55,0.9018085524439812,0.9039854928851128,0.902897022664547
84,surprise,astonishment,5.55,0.838788703083992,0.8510935232043266,0.8449411131441593
85,vessel,ship,5.54,0.8646254688501358,0.8654706105589867,0.8650480397045612
86,control,regulation,5.53,0.7678796872496605,0.7798586413264275,0.773869164288044
87,capture,seizure,5.52,0.7378426939249039,0.7441802322864532,0.7410114631056786
88,pistol,gun,5.52,0.857225589454174,0.848140224814415,0.8526829071342945
89,posture,stance,5.51,0.8842473551630974,0.8675737231969833,0.8759105391800404
90,damage,harm,5.51,0.8557376191020012,0.8602014780044556,0.8579695485532284
91,preserves,jam,5.48,0.621052697300911,0.642282247543335,0.631667472422123
92,picture,photograph,5.48,0.8510539308190346,0.8665937706828117,0.8588238507509232
93,daring,boldness,5.47,0.8267373815178871,0.8221731409430504,0.8244552612304688
94,advice,guidance,5.47,0.8571202829480171,0.8602245301008224,0.8586724065244198
95,terror,fright,5.47,0.7892724871635437,0.7963962554931641,0.7928343713283539
96,double,duplicate,5.46,0.7500685453414917,0.7485050112009048,0.7492867782711983
97,challenge,dare,5.45,0.7041556686162949,0.7061893343925476,0.7051725015044212
98,safety,security,5.45,0.8338059410452843,0.8327904865145683,0.8332982137799263
99,prairie,grassland,5.44,0.7810651957988739,0.7876752391457558,0.7843702174723148
100,contest,competition,5.44,0.831898495554924,0.838847890496254,0.835373193025589
101,talent,skill,5.43,0.8329335823655128,0.8374591842293739,0.8351963832974434
102,highway,turnpike,5.43,0.7510733753442764,0.7421898320317268,0.7466316036880016
103,wagon,cart,5.43,0.7519265189766884,0.7229840829968452,0.7374553009867668
104,palace,castle,5.42,0.8445096164941788,0.8453121483325958,0.8449108824133873
105,adult,grownup,5.78,0.7595931887626648,0.7541496455669403,0.7568714171648026
106,status,rank,5.77,0.7570232078433037,0.7676132246851921,0.7623182162642479
107,savage,barbarian,5.77,0.8087674677371979,0.8219509050250053,0.8153591863811016
108,poison,venom,5.77,0.8092958703637123,0.8209514692425728,0.8151236698031425
109,purpose,intention,5.74,0.8393968641757965,0.8361451551318169,0.8377710096538067
110,echo,reverberation,5.74,0.8039392456412315,0.826413169503212,0.8151762075722218
111,ethics,morals,5.74,0.8380525559186935,0.84078399091959,0.8394182734191418
112,delight,pleasure,5.72,0.8485795855522156,0.8549668565392494,0.8517732210457325
113,moisture,dampness,5.72,0.8061516955494881,0.7970504313707352,0.8016010634601116
114,vigor,energy,5.72,0.7714224010705948,0.7660637497901917,0.7687430754303932
115,human,person,5.71,0.7631684839725494,0.7409275621175766,0.752048023045063
116,logic,reasoning,5.71,0.8500678166747093,0.8499470129609108,0.8500074148178101
117,desire,wish,5.71,0.8265626803040504,0.8118343874812126,0.8191985338926315
118,curtain,drape,5.69,0.6767926663160324,0.671673871576786,0.6742332689464092
119,justice,fairness,5.68,0.81046262383461,0.801948182284832,0.806205403059721
120,number,quantity,5.67,0.7874929383397102,0.7964073941111565,0.7919501662254333
121,sequence,series,5.67,0.8160641491413116,0.8188819363713264,0.817473042756319
122,player,contestant,5.66,0.7759532332420349,0.7963576763868332,0.786155454814434
123,fraction,part,5.66,0.6995217278599739,0.6778643354773521,0.688693031668663
124,trouble,difficulty,5.66,0.8398592323064804,0.8571887016296387,0.8485239669680595
125,witness,observer,5.65,0.7668648660182953,0.7756337672472,0.7712493166327477
126,rancher,cattleman,5.65,0.837517611682415,0.8400869816541672,0.8388022966682911
127,ration,allowance,5.64,0.7523748874664307,0.7363553196191788,0.7443651035428047
128,crossing,intersection,5.64,0.7546301558613777,0.7720006257295609,0.7633153907954693
129,union,joining,5.63,0.7560462206602097,0.7530277967453003,0.754537008702755
130,verdict,decision,5.62,0.7921690791845322,0.7855273932218552,0.7888482362031937
131,fashion,style,5.62,0.8299745321273804,0.823546402156353,0.8267604671418667
132,quiet,silence,5.62,0.8435042127966881,0.8465834632515907,0.8450438380241394
133,fourth,quarter,5.62,0.7312594875693321,0.732332855463028,0.73179617151618
134,statute,law,5.61,0.8180999755859375,0.8079468011856079,0.8130233883857727
135,instant,moment,5.61,0.789316825568676,0.7916642278432846,0.7904905267059803
136,impulse,urge,5.6,0.836896613240242,0.8294649794697762,0.8331807963550091
137,pastor,minister,5.6,0.8427380621433258,0.8218059465289116,0.8322720043361187
138,design,pattern,5.6,0.7618326172232628,0.7546393349766731,0.758235976099968
139,canyon,gorge,5.6,0.7921204045414925,0.7673989906907082,0.7797596976161003
140,purchase,buy,6.79,0.8872167021036148,0.8814128860831261,0.8843147940933704
141,lawyer,attorney,6.78,0.9071742445230484,0.9116388410329819,0.9094065427780151
142,autumn,fall,6.72,0.8222278282046318,0.7838722094893456,0.8030500188469887
143,penny,cent,6.71,0.7121919021010399,0.7023130804300308,0.7072524912655354
144,taxi,cab,6.71,0.8627146556973457,0.8368150740861893,0.8497648648917675
145,auto,car,6.68,0.7698050364851952,0.7788229063153267,0.7743139714002609
146,error,mistake,6.66,0.8554468080401421,0.8458905443549156,0.8506686761975288
147,pupil,student,6.63,0.8241021558642387,0.8287979885935783,0.8264500722289085
148,victor,winner,6.6,0.8349338695406914,0.8300933912396431,0.8325136303901672
149,answer,reply,6.58,0.8402414843440056,0.8484099507331848,0.8443257175385952
150,present,gift,6.56,0.6457763388752937,0.6717041879892349,0.6587402634322643
151,teacher,instructor,6.56,0.8725110292434692,0.8814826309680939,0.8769968301057816
152,result,outcome,6.47,0.8512368500232697,0.8550486639142036,0.8531427569687366
153,triumph,victory,6.45,0.8692146986722946,0.8772624731063843,0.8732385858893394
154,basement,cellar,6.44,0.8552599549293518,0.8695036694407463,0.8623818121850491
155,excess,surplus,6.43,0.7806481793522835,0.7865522652864456,0.7836002223193645
156,display,exhibit,6.41,0.8360207378864288,0.8448050245642662,0.8404128812253475
157,consent,permission,6.41,0.824746623635292,0.8086616545915604,0.8167041391134262
158,comment,remark,6.4,0.8648913651704788,0.8669160529971123,0.8659037090837955
159,clothing,apparel,6.39,0.8915763720870018,0.8911296129226685,0.8913529925048351
160,center,middle,6.37,0.7487100511789322,0.7443197071552277,0.7465148791670799
161,command,order,6.37,0.7218170911073685,0.7123351693153381,0.7170761302113533
162,streetcar,trolley,6.37,0.7937389090657234,0.781602717936039,0.7876708135008812
163,prison,jail,6.36,0.8934956714510918,0.8902196139097214,0.8918576426804066
164,custom,tradition,6.35,0.8036486357450485,0.8057063966989517,0.8046775162220001
165,courage,bravery,6.34,0.9122091829776764,0.9055497050285339,0.9088794440031052
166,balance,equilibrium,6.34,0.7965172380208969,0.7940264195203781,0.7952718287706375
167,singer,vocalist,6.34,0.8487918376922607,0.8553027436137199,0.8520472906529903
168,plenty,abundance,6.33,0.7936039790511131,0.7975900769233704,0.7955970279872417
169,worker,laborer,6.32,0.8273359909653664,0.81275674700737,0.8200463689863682
170,rabbit,bunny,6.3,0.8782682940363884,0.8674063235521317,0.87283730879426
171,author,writer,6.05,0.8561909347772598,0.8572690635919571,0.8567299991846085
172,money,currency,6.04,0.8107035532593727,0.8250152468681335,0.8178594000637531
173,rival,opponent,6.04,0.7991803213953972,0.8066557496786118,0.8029180355370045
174,unknown,anonymous,6.04,0.770047552883625,0.7710539177060127,0.7705507352948189
175,country,nation,6.03,0.8778040483593941,0.882737472653389,0.8802707605063915
176,children,youngsters,5.99,0.857546329498291,0.8482879772782326,0.8529171533882618
177,event,occurrence,5.99,0.7765011340379715,0.7816256731748581,0.7790634036064148
178,walker,pedestrian,5.99,0.7896297127008438,0.8027950450778008,0.7962123788893223
179,sunrise,dawn,5.98,0.8297972232103348,0.827556848526001,0.8286770358681679
180,label,tag,5.98,0.7997980117797852,0.7944648563861847,0.7971314340829849
181,column,pillar,5.96,0.7301328405737877,0.7333885654807091,0.7317607030272484
182,decrease,reduction,5.94,0.8632144704461098,0.8596696853637695,0.8614420779049397
183,profit,gain,5.94,0.7949091792106628,0.761143147945404,0.7780261635780334
184,motive,reason,5.92,0.7750220969319344,0.7755441963672638,0.7752831466495991
185,fabric,cloth,5.92,0.7924688309431076,0.8048166036605835,0.7986427173018456
186,engine,motor,5.91,0.7736582159996033,0.7670042514801025,0.7703312337398529
187,feeling,emotion,5.9,0.7844903469085693,0.7985785976052284,0.7915344722568989
188,concept,idea,5.9,0.8697008416056633,0.8625129535794258,0.8661068975925446
189,carpet,rug,5.9,0.8340850323438644,0.8314524069428444,0.8327687196433544
190,protest,objection,5.9,0.7954255416989326,0.7958846092224121,0.7956550754606724
191,commerce,trade,5.89,0.8077661842107773,0.7842693105340004,0.7960177473723888
192,poultry,fowl,5.88,0.753142386674881,0.7406169176101685,0.7468796521425247
193,question,inquiry,5.88,0.781936913728714,0.7885960713028908,0.7852664925158024
194,shortage,deficiency,5.88,0.8323106244206429,0.839490108191967,0.8359003663063049
195,income,earnings,5.88,0.8621762320399284,0.8655696287751198,0.8638729304075241
196,insect,bug,5.87,0.8274201676249504,0.7915261536836624,0.8094731606543064
197,story,tale,5.87,0.8928102478384972,0.8867131993174553,0.8897617235779762
198,delay,postponement,5.87,0.832987830042839,0.846053771674633,0.839520800858736
199,expense,cost,5.84,0.8352971822023392,0.8307469710707664,0.8330220766365528
200,labor,work,5.84,0.7871398627758026,0.7701158300042152,0.7786278463900089
201,hazard,danger,5.79,0.8360474407672882,0.835026204586029,0.8355368226766586
202,summit,top,5.79,0.7285291478037834,0.7274979278445244,0.7280135378241539
203,tremble,shake,5.79,0.773512028157711,0.7483353763818741,0.7609237022697926
204,survey,questionnaire,5.78,0.8330020755529404,0.8445062264800072,0.8387541510164738
205,driver,motorist,5.78,0.8133106529712677,0.8235505223274231,0.8184305876493454
206,slaughter,massacre,6.29,0.869272381067276,0.8632380962371826,0.8662552386522293
207,murder,homicide,6.29,0.8811415582895279,0.8853361457586288,0.8832388520240784
208,inside,interior,6.29,0.7515686526894569,0.7608877941966057,0.7562282234430313
209,defect,flaw,6.29,0.8056583851575851,0.8006641566753387,0.803161270916462
210,speaker,orator,6.28,0.707796685397625,0.71261827647686,0.7102074809372425
211,total,sum,6.28,0.6908857375383377,0.7009261175990105,0.6959059275686741
212,pilot,aviator,6.25,0.768806517124176,0.7627820149064064,0.7657942660152912
213,builder,constructor,6.25,0.8364453986287117,0.8451609313488007,0.8408031649887562
214,couple,pair,6.24,0.8144580870866776,0.8230822309851646,0.8187701590359211
215,dinner,supper,6.23,0.874065637588501,0.8716214373707771,0.872843537479639
216,liquid,fluid,6.23,0.8168531060218811,0.8121167197823524,0.8144849129021168
217,motion,movement,6.22,0.8291247114539146,0.8254435956478119,0.8272841535508633
218,freedom,liberty,6.22,0.8681277260184288,0.8749436736106873,0.871535699814558
219,applause,clapping,6.22,0.7337491288781166,0.734011210501194,0.7338801696896553
220,value,worth,6.22,0.713528573513031,0.7203809395432472,0.7169547565281391
221,vision,sight,6.21,0.819337785243988,0.8136478513479233,0.8164928182959557
222,subject,topic,6.21,0.837649866938591,0.8424905687570572,0.8400702178478241
223,promise,vow,6.21,0.7409502640366554,0.7409294173121452,0.7409398406744003
224,baby,infant,6.19,0.8479572907090187,0.849893607199192,0.8489254489541054
225,complaint,grievance,6.18,0.8442853465676308,0.8562556803226471,0.8502705134451389
226,duty,obligation,6.17,0.8602609112858772,0.8680497482419014,0.8641553297638893
227,region,area,6.16,0.8590002059936523,0.8555683493614197,0.857284277677536
228,movie,film,6.16,0.8907374888658524,0.8949836418032646,0.8928605653345585
229,vital,important,6.14,0.8571716025471687,0.8624231144785881,0.8597973585128784
230,fatigue,tiredness,6.13,0.8487241715192795,0.8540400937199593,0.8513821326196194
231,odor,smell,6.11,0.8866000548005104,0.8804187700152397,0.8835094124078751
232,owner,proprietor,6.09,0.8378749936819077,0.8539330810308456,0.8459040373563766
233,journey,trip,6.09,0.8534237667918205,0.8384292274713516,0.8459264971315861
234,saloon,barroom,6.09,0.8120260983705521,0.8164003118872643,0.8142132051289082
235,crying,weeping,6.09,0.8824063837528229,0.8709295243024826,0.8766679540276527
236,forecast,prediction,6.08,0.8363011404871941,0.8444103449583054,0.8403557427227497
237,quarrel,argument,6.08,0.7648660391569138,0.7492818087339401,0.7570739239454269
238,method,procedure,6.08,0.830114021897316,0.8316299840807915,0.8308720029890537
239,forest,woodland,6.05,0.8383403867483139,0.8365379795432091,0.8374391831457615
240,blindness,sightlessness,6.05,0.8440893068909645,0.8280906304717064,0.8360899686813354
241,rescue,recovery,4.48,0.8032480180263519,0.7948286980390549,0.7990383580327034
242,harbor,cove,4.47,0.7051782757043839,0.7036786377429962,0.70442845672369
243,temple,church,4.46,0.8063708618283272,0.7940720468759537,0.8002214543521404
244,costume,disguise,4.45,0.8303797245025635,0.8240054249763489,0.8271925747394562
245,mixture,compound,4.44,0.6946781352162361,0.6955097243189812,0.6950939297676086
246,stature,height,4.44,0.8237490206956863,0.8168010488152504,0.8202750347554684
247,premier,president,4.43,0.7441325858235359,0.7534881606698036,0.7488103732466698
248,trial,hearing,4.43,0.7348036840558052,0.7109985798597336,0.7229011319577694
249,wonder,miracle,4.42,0.7508329600095749,0.7612989842891693,0.7560659721493721
