Word1,Word2,Grand Mean
Scholar,Academician,5.42
Review,Critique,5.41
Refund,Reimbursement,5.41
Haven,Refuge,5.41
Rebel,Revolutionary,5.4
Soil,Dirt,5.4
Empire,Kingdom,5.4
Actor,Performer,5.4
Tribute,Praise,5.4
Version,Rendition,5.39
Belly,Stomach,5.38
Offer,Bid,5.37
Humor,Wit,5.36
Matter,Substance,5.36
Despair,Hopelessness,5.36
Meeting,Assembly,5.35
Holder,Receptacle,5.35
Target,Goal,5.34
Cruelty,Brutality,5.34
Index,Listing,5.33
Progress,Improvement,5.32
Symbol,Emblem,5.31
Stockade,Fort,5.31
Legend,Myth,5.31
Senior,Elder,5.3
Razor,Shaver,5.3
Burden,Load,5.29
Anger,Wrath,5.29
Parade,Procession,5.28
Increase,Enlargement,5.27
Pressure,Force,5.27
Bureau,Department,5.27
Comfort,Consolation,5.26
Manner,Mode,5.26
Mission,Task,5.25
Research,Investigation,5.25
Color,Hue,5.24
Margin,Border,5.23
Muscle,Brawn,5.22
Marshal,Sheriff,5.21
Contempt,Scorn,5.2
Defense,Protection,5.2
Era,Age,5.2
Magic,Sorcery,5.19
Hotel,Inn,5.19
Sidewalk,Walkway,5.19
Heaven,Paradise,5.18
Rumor,Gossip,5.16
Lady,Woman,5.16
Folly,Foolishness,5.16
Minor,Juvenile,5.15
Deport,Transport,5.14
Habit,Mannerism,5.14
Reverse,Opposite,5.14
Reward,Prize,5.13
College,University,5.12
Spirit,Soul,5.11
Output,Yield,5.1
Savings,Reserves,5.09
Expert,Authority,5.09
Effort,Attempt,5.08
Servant,Maid,5.08
Soldier,Warrior,5.07
Jacket,Coat,5.07
Lesson,Instruction,5.07
Disease,Illness,5.07
Fortune,Wealth,5.07
Cluster,Group,5.07
Alarm,Warning,5.06
Success,Accomplishment,5.06
Tension,Strain,5.6
Feature,Characteristic,5.59
Lumber,Wood,5.59
Program,Schedule,5.59
Candy,Sweets,5.58
Crisis,Emergency,5.57
Founder,Originator,5.57
Excuse,Pardon,5.57
