rank,lemma,PoS,freq,synonym,synset
26,say,v,4096416,tell,Synset('state.v.01')
31,go,v,3546732,belong,Synset('belong.v.03')
34,get,v,3347615,convey,Synset('bring.v.04')
39,know,v,2761628,,
49,would,v,2349400,,
50,make,v,2290830,pretend,Synset('make.v.42')
53,think,v,2077762,cerebrate,Synset('think.v.03')
54,time,n,2018725,clip,Synset('time.n.01')
56,see,v,1958700,learn,Synset('learn.v.02')
61,come,v,1802158,occur,Synset('occur.v.02')
62,people,n,1800205,mass,Synset('multitude.n.03')
63,take,v,1768822,read,Synset('take.v.06')
64,year,n,1729962,yr,Synset('year.n.01')
68,want,v,1671524,desire,Synset('desire.v.01')
75,could,v,1529795,,
81,look,v,1338475,seem,Synset('look.v.02')
82,way,n,1260011,direction,Synset('direction.n.01')
86,thing,n,1202004,,
87,well,r,1189096,intimately,Synset('well.r.08')
89,also,r,1142799,too,Synset('besides.r.02')
91,use,v,1126042,practice,Synset('practice.v.04')
92,tell,v,1119692,order,Synset('order.v.01')
93,good,a,1111721,beneficial,Synset('beneficial.s.01')
95,man,n,1091176,valet,Synset('valet.n.01')
96,day,n,1068902,,
97,find,v,1051936,receive,Synset('receive.v.02')
98,give,v,1048189,yield,Synset('give.v.09')
100,new,a,1017175,newfangled,Synset('newfangled.s.01')
107,need,v,945498,require,Synset('want.v.02')
108,back,r,938649,rearwards,Synset('back.r.02')
111,even,r,920346,yet,Synset('even.r.03')
114,really,r,895900,genuinely,Synset('truly.r.01')
115,work,v,854095,make,Synset('make.v.36')
116,life,n,852257,biography,Synset('biography.n.01')
118,right,r,830729,justly,Synset('justly.r.02')
121,try,v,795248,sample,Synset('sample.v.01')
122,let,v,780929,permit,Synset('permit.v.01')
125,call,v,768117,foretell,Synset('predict.v.01')
126,woman,n,759817,charwoman,Synset('charwoman.n.01')
127,may,v,757742,,
128,still,r,757548,nonetheless,Synset('however.r.01')
130,mean,v,748840,intend,Synset('mean.v.03')
132,never,r,744608,ne'er,Synset('never.r.01')
134,world,n,732511,creation,Synset('universe.n.01')
136,feel,v,722826,experience,Synset('feel.v.01')
138,great,a,696589,outstanding,Synset('great.s.02')
140,child,n,685426,baby,Synset('child.n.03')
143,ask,v,676596,require,Synset('necessitate.v.01')
146,school,n,660191,schoolhouse,Synset('school.n.02')
147,state,n,638012,province,Synset('state.n.01')
149,talk,v,635614,speak,Synset('talk.v.01')
151,keep,v,626487,continue,Synset('continue.v.01')
152,leave,v,622651,entrust,Synset('entrust.v.02')
153,put,v,616952,position,Synset('put.v.01')
154,like,v,614691,,
155,help,v,606887,serve,Synset('serve.v.05')
156,big,a,600364,openhanded,Synset('big.s.12')
162,start,v,578246,depart,Synset('depart.v.03')
164,high,a,567720,gamy,Synset('gamey.s.02')
167,become,v,561963,turn,Synset('become.v.02')
170,happen,v,552797,pass,Synset('happen.v.01')
171,family,n,544520,fellowship,Synset('family.n.08')
173,president,n,538319,chairperson,Synset('president.n.04')
174,old,a,537424,former,Synset('erstwhile.s.01')
176,house,n,537037,home,Synset('family.n.01')
177,show,v,536889,depict,Synset('picture.v.02')
179,student,n,530196,scholar,Synset('scholar.n.01')
181,seem,v,522940,look,Synset('look.v.02')
182,might,v,521992,,
183,part,n,517693,voice,Synset('part.n.11')
184,hear,v,516483,listen,Synset('listen.v.02')
186,place,n,508803,space,Synset('space.n.07')
187,problem,n,504175,trouble,Synset('trouble.n.01')
189,believe,v,500511,consider,Synset('think.v.01')
190,country,n,499369,area,Synset('area.n.01')
191,always,r,492943,perpetually,Synset('constantly.r.02')
192,week,n,484834,hebdomad,Synset('week.n.01')
193,point,n,484094,,
194,hand,n,481332,,
196,play,v,478740,work,Synset('bring.v.03')
197,turn,v,477668,release,Synset('turn.v.08')
199,group,n,470971,grouping,Synset('group.n.01')
202,run,v,465066,operate,Synset('operate.v.01')
203,guy,n,464082,bozo,Synset('guy.n.01')
205,case,n,458383,event,Synset('event.n.02')
206,question,n,457301,doubt,Synset('doubt.n.02')
207,work,n,456169,workplace,Synset('workplace.n.01')
208,night,n,452094,,
209,live,v,450380,inhabit,Synset('populate.v.01')
210,game,n,445149,biz,Synset('game.n.10')
211,number,n,444412,figure,Synset('number.n.01')
212,write,v,439865,pen,Synset('write.v.01')
213,bring,v,439445,convey,Synset('bring.v.01')
215,money,n,437583,,
216,lot,n,437545,fortune,Synset('fortune.n.04')
218,book,n,435387,volume,Synset('book.n.02')
219,system,n,435303,scheme,Synset('system.n.02')
220,government,n,434971,politics,Synset('politics.n.02')
222,city,n,433843,metropolis,Synset('city.n.03')
223,company,n,432469,party,Synset('party.n.03')
224,story,n,432184,account,Synset('history.n.02')
225,today,r,431562,nowadays,Synset('nowadays.r.01')
226,job,n,430995,business,Synset('occupation.n.01')
227,move,v,430324,incite,Synset('motivate.v.01')
228,must,v,427796,,
229,bad,a,426558,unsound,Synset('bad.s.10')
230,friend,n,423755,champion,Synset('supporter.n.01')
232,begin,v,421878,start,Synset('begin.v.03')
233,love,v,417532,enjoy,Synset('love.v.02')
235,hold,v,413837,bind,Synset('oblige.v.02')
236,different,a,413578,,
237,american,a,410698,,
238,little,a,404660,short,Synset('short.a.03')
240,ever,r,402590,always,Synset('always.r.01')
241,word,n,402216,discussion,Synset('discussion.n.02')
242,fact,n,399574,,
243,right,n,389906,rightfield,Synset('right_field.n.01')
